feature,type,filter,abbrev,plot_name
Areas of high ichthyoplankton species richness ,Biodiversity hotspot,Fine-filter,Larval Diversity,Larval Div
Areas of high fish species richness (East),Biodiversity hotspot,Fine-filter,Fish Diversity 4VW,Fish Div 4VW
Areas of high fish species richness (West),Biodiversity hotspot,Fine-filter,Fish Diversity 4X,Fish Div 4X
Areas of high invertebrate species richness (East),Biodiversity hotspot,Fine-filter,Invert Diversity 4VW,Inv Div 4VW
Areas of high invertebrate species richness (West),Biodiversity hotspot,Fine-filter,Invert Diversity 4X,Inv Div 4X
Areas of high small fish species richness (East),Biodiversity hotspot,Fine-filter,Small Fish Diversity Fish 4VW,Sm Fish Div 4Vw
Areas of high small fish species richness (West),Biodiversity hotspot,Fine-filter,Small Fish Diversity Fish 4X,Sm Fish Div 4X
Areas of high small invertebrate species richness (East),Biodiversity hotspot,Fine-filter,Small Invert Diversity 4VW,Sm Inv Div 4VW
Areas of high small invertebrate species richness (West),Biodiversity hotspot,Fine-filter,Small Invert Diversity 4X,Sm Inv Div 4X
Stalked tunicate fields,Biogenic habitat,Fine-filter,Boltenia,Boltenia
Large gorgonian coral concentrations (Kernel Density Estimations),Biogenic habitat,Fine-filter,Lg Gorgonian KDE,Lg Gorgonian KDE
Large gorgonian coral concentrations (Species Distribution Models),Biogenic habitat,Fine-filter,Lg Gorgonian SDM,Lg Gorgonian SDM
Other sponge concentrations (Kernel Density Estimations),Biogenic habitat,Fine-filter,Sponges Gen,Sponges General
Sand dollar distribution (Kernel Density Estimate),Biogenic habitat,Fine-filter,Sand Dollar,Sand Dollar
Sea pen fields (Kernel Density Estimations),Biogenic habitat,Fine-filter,Sea Pens SDM,Sea Pens SDM
Sea pen fields (Species Distribution Models),Biogenic habitat,Fine-filter,Sea Pens KDE,Sea Pens KDE
Small gorgonian coral concentrations (Species Distribution Models),Biogenic habitat,Fine-filter,Sm Gorgonian SDM,Sm Gorgonian SDM
Soft coral gardens (Kernel Density Estimations),Biogenic habitat,Fine-filter,Soft Coral,Soft Coral
Vazella pourtalesi (sponge) concentrations (Kernel Density Estimations),Biogenic habitat,Fine-filter,Vazella,Vazella
Baccaro and LaHave Banks ,Biophysical unit,Coarse-filter,Baccro Lehave,Baccro Lehave
Eastern Scotian Shelf ,Biophysical unit,Coarse-filter,ESS,Eastern Scotian Shelf
Gulf of Maine ,Biophysical unit,Coarse-filter,GOM,Gulf of Maine
LaHave and Emerald Basins ,Biophysical unit,Coarse-filter,Lehave Emerald,Lehave Emerald
