"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high small invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","MacNamaras Islands",0,0
"Areas of high small invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Fleur de Lis Coast",0,0
"Areas of high small invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Ingonish",0,0
"Areas of high small invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Aspy Bay",0,0
"Areas of high small invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Bird Islands",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Eastern Shore Islands",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Sable River Bird Sanctuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Boot Island National Wildlife Area",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Long Eddy",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Bras d’Or Lake",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Salmon Rivers",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Western/Emerald Banks Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Sambro Bank Sponge Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Eastern Canyons Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Southwest Bank",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Western Jordan Basin",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Georges Bank",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","LaHave Basin",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Scotian Gulf",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Central Scotian Slope, Rise and Abyss",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Sable Island Bank",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Canso Bank and Channels",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Misaine Bank and Laurentian Channel",0.21,0.3
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Eastern Shoal",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Cold Seeps",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Fundian Channel-Browns Bank",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Logan Canyon",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","St. Anns Bank Marine Protected Area ",20.9,26.1
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Gully Marine Protected Area",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Pemsɨk",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Southern Bight",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Cobequid Bay",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Chignecto Bay",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","West Isles and Passages",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Chebogue",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","LaHave Islands",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Sambro Ledges - Prospect",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Brier Island",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","South Grand Manan",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Eel Bay",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","McNutts Island",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Country Island",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","MacNamaras Islands",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Fleur de Lis Coast",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Ingonish",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Aspy Bay",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Bird Islands",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Eastern Shore Islands",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Sable River Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Boot Island National Wildlife Area",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Long Eddy",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Bras d’Or Lake",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Salmon Rivers",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Western/Emerald Banks Marine Refuge",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Sambro Bank Sponge Marine Refuge",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Eastern Canyons Marine Refuge",42.24,52.8
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Southwest Bank",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Western Jordan Basin",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Georges Bank",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","LaHave Basin",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Scotian Gulf",0.02,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Central Scotian Slope, Rise and Abyss",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Sable Island Bank",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Canso Bank and Channels",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Misaine Bank and Laurentian Channel",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Eastern Shoal",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Cold Seeps",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Fundian Channel-Browns Bank",0.1,0.1
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Logan Canyon",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","St. Anns Bank Marine Protected Area ",0.34,0.4
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Gully Marine Protected Area",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Pemsɨk",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Southern Bight",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Cobequid Bay",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Chignecto Bay",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","West Isles and Passages",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Chebogue",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","LaHave Islands",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Sambro Ledges - Prospect",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Brier Island",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","South Grand Manan",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Eel Bay",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","McNutts Island",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Country Island",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","MacNamaras Islands",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Fleur de Lis Coast",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Ingonish",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Aspy Bay",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Bird Islands",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Eastern Shore Islands",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Sable River Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Boot Island National Wildlife Area",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Long Eddy",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Bras d’Or Lake",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Salmon Rivers",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Western/Emerald Banks Marine Refuge",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Northeast Channel Coral Marine Refuge",0.74,0.9
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Sambro Bank Sponge Marine Refuge",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0.14,0.2
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Eastern Canyons Marine Refuge",12.24,15.3
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Southwest Bank",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Western Jordan Basin",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Georges Bank",1.06,1.3
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","LaHave Basin",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Scotian Gulf",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Central Scotian Slope, Rise and Abyss",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Sable Island Bank",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Canso Bank and Channels",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Misaine Bank and Laurentian Channel",0.91,1.1
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Eastern Shoal",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Cold Seeps",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Fundian Channel-Browns Bank",5.18,6.5
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Logan Canyon",4.79,6
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","St. Anns Bank Marine Protected Area ",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Gully Marine Protected Area",4.6,5.8
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Pemsɨk",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Southern Bight",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Cobequid Bay",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Chignecto Bay",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","West Isles and Passages",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Chebogue",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","LaHave Islands",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Sambro Ledges - Prospect",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Brier Island",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","South Grand Manan",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Eel Bay",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","McNutts Island",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Country Island",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","MacNamaras Islands",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Fleur de Lis Coast",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Ingonish",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Aspy Bay",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Bird Islands",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Eastern Shore Islands",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Sable River Bird Sanctuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Boot Island National Wildlife Area",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Long Eddy",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Bras d’Or Lake",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Salmon Rivers",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Western/Emerald Banks Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Sambro Bank Sponge Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Eastern Canyons Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Southwest Bank",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Western Jordan Basin",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Georges Bank",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","LaHave Basin",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Scotian Gulf",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Central Scotian Slope, Rise and Abyss",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Sable Island Bank",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Canso Bank and Channels",9.28,46.4
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Misaine Bank and Laurentian Channel",0.04,0.2
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Eastern Shoal",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Cold Seeps",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Fundian Channel-Browns Bank",12.08,60.4
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Logan Canyon",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","St. Anns Bank Marine Protected Area ",15.45,77.2
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Gully Marine Protected Area",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Pemsɨk",1.11,5.6
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Southern Bight",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Cobequid Bay",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Chignecto Bay",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","West Isles and Passages",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Chebogue",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","LaHave Islands",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Sambro Ledges - Prospect",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Brier Island",0.31,1.6
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","South Grand Manan",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Eel Bay",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","McNutts Island",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Country Island",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","MacNamaras Islands",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Fleur de Lis Coast",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Ingonish",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Aspy Bay",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
