"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","South Grand Manan",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Eel Bay",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","McNutts Island",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Country Island",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","MacNamaras Islands",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Fleur de Lis Coast",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Ingonish",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Aspy Bay",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Bird Islands",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eastern Shore Islands",0.29,1.4
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sable River Bird Sanctuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Boot Island National Wildlife Area",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Long Eddy",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Bras d’Or Lake",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Salmon Rivers",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Western/Emerald Banks Marine Refuge",6.14,30.7
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Emerald Basin Sponge Marine Refuge",0.52,2.6
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sambro Bank Sponge Marine Refuge",0.15,0.8
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eastern Canyons Marine Refuge",4.08,20.4
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Southwest Bank",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Western Jordan Basin",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Georges Bank",0,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","LaHave Basin",0.01,0
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Scotian Gulf",0.03,0.1
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter","Central Scotian Slope, Rise and Abyss",3.14,15.7
