"Common","Species","aphiaID","rank","type"
"Haddock","Melanogrammus aeglefinus",126437,1,"Shared"
"Atlantic hake","Merluccius bilinearis",158962,2,"Shared"
"Yellowtail flounder","Myzopsetta ferruginea",1571969,3,"Shared"
"Longhorn sculpin","Myoxocephalus octodecemspinosus",159520,4,"Shared"
"Atlantic cod","Gadus morhua",126436,5,"RV only"
"American plaice","Hippoglossoides platessoides",127137,6,"Shared"
"Atlantic herring","Clupea harengus",126417,7,"Shared"
"Winter flounder","Pseudopleuronectes americanus",158885,8,"Shared"
"Red hake","Urophycis chuss",126503,9,"Shared"
"Pollock","Pollachius virens",126441,10,"RV only"
